,product_id,rating,date,helpful_count,review,label,pos_words,neg_words,neu_words
0,4obtb7,4.0,2025-03-26,11,it's very good but there is very little lipstick. a little bit.,5.0,[],[' lipstick'],[]
1,4obtb7,4.0,2023-10-23,346,"it is very good, it is water proof :red_heart: but it is missing the kajal? that is why I reduced it by one star",4.0,[],[' k'],[]
2,4obtb7,4.0,2024-10-06,78,"the shade of lipstick is good but I have given only 2 kajals, those too were not waterproof and the packaging was also not good so I have exchanged them",4.0,[' shade of lipstick'],[' packaging'],[]
3,4obtb7,4.0,2025-03-21,23,"lipstick shades are very good, kajal liners are also very good, they are waterproof but the lipstick is a little less, but don't worry, I am happy, thank you, Meesho :thumbs_up:",5.0,"['lipstick shades', ' k', 'al liners']",[' lipstick'],[]
4,4obtb7,4.0,2024-11-25,12,4 lipstick :lipstick: nighalaya aani 3 kajal pan eyeliner nahi nighal :frowning_face:,4.0,[],[],[]
5,4obtb7,4.0,2024-11-26,6,the lipstick shade is dry :..it: face_with_rolling_eyes was a liner but Meesho has sent 2 kajal,4.0,[],[' lipstick shade'],[]
6,4obtb7,4.0,2025-04-01,0,wow so good color thankyou :smiling_face_with_open_hands: Meesho :smiling_face_with_open_hands:,5.0,[' color'],[],[]
7,4obtb7,5.0,2025-03-31,0,"this is beautiful product and color shade is very beautiful eyeliner, kajal is very beautiful delivery on time",5.0,"[' product', ' color shade', ' eyeliner', ' delivery']",[],[]
8,4obtb7,4.0,2024-10-04,9,I have received this product and the liner is also missing and two lipsticks too but I don't know who keeps them,5.0,[],"[' liner', ' lipsticks']",[]
9,4obtb7,4.0,2024-12-06,3,the product is good peking is nice but not a kajjal thing has been added to it,4.0,[' product'],[],[]
10,4obtb7,4.0,2025-03-13,28,it's very fast delivery :delivery_truck: I received my parcel :package: in just 3 days nice :thumbs_up: :slightly_smiling_face:,5.0,[' delivery'],[],[]
11,4obtb7,4.0,2024-04-03,104,"nice lipstick, kajal eyeliner must buy guyz",5.0,"[' lipstick', 'iner']",[],[]
12,4obtb7,4.0,2024-12-06,1,"lipstick is ok but kajal is not ok, mascara is missing",3.0,['lipstick'],[' mascara'],[]
13,4obtb7,4.0,2024-10-14,7,it's good but show me the liner and give me two kajals and one kajal is empty :folded_hands:,4.0,[],[],[]
14,4obtb7,5.0,2025-03-19,13,veryyy good thumbs_up :prodect: :victory_hand: :heart_suit: and veryy fast delivery :delivery_truck: and I received my parcal jast 4 days only :package: to good prodect :sparkling_heart: :smiling_face_with_smiling_eyes:,5.0,[' delivery'],[],[]
15,4obtb7,5.0,2025-03-31,0,"the product is very good and the color finishing is also very good and the kajal and liner are also very good, the fragrance is also good, it is waterproof and long lasting too, I am really very happy :thank: smiling_face_with_smiling_eyes",5.0,"[' product', ' color finishing', ' k', ' liner', ' fragrance']",[],[]
16,4obtb7,4.0,2025-03-27,1,it does not have red colour but it is ok and its smell is not good,3.0,[],[' smell'],[]
17,4obtb7,3.0,2025-03-31,0,"it is broken.. :there: pleading_face was one more thing, it did not come and looks old, it looks very rough and tough..",3.0,[],['face'],[]
18,4obtb7,5.0,2025-03-19,9,very nice :thumbs_up: product and this product by waterproof,5.0,[],[],[]
19,4obtb7,5.0,2025-03-31,0,product is very good.. value for money I am very happy :smiling_face_with_open_hands:,5.0,['product'],[],[]
20,4obtb7,3.0,2025-03-29,0,"nice, but quality is ok ok but 2 lipsticks same same h",4.0,[' quality'],[' lipsticks'],[]
21,4obtb7,4.0,2025-01-13,3,very good products iam happy thank you message,5.0,[' products'],[],[]
22,4obtb7,4.0,2024-11-30,0,it's good but the eye liner was not missing,4.0,[],[' eye liner'],[]
23,4obtb7,4.0,2024-10-22,4,super product thank you Meesho,5.0,[' product'],[],[]
24,4obtb7,4.0,2024-10-16,2,kajal is missing and both liners are of good quality.,4.0,[' liners'],[],[]
25,4obtb7,4.0,2024-10-06,2,ok ok product :face_with_rolling_eyes: but eyeliner is not good :thumbs_up_light_skin_tone:,3.0,[],"[' eyel', 'iner', 'tone']",[]
26,4obtb7,4.0,2024-10-03,5,the price of the products is good.,5.0,"[' price', ' products']",[],['.']
27,4obtb7,4.0,2024-02-14,33,nice product but lipstick is very small,4.0,[' product'],[' lipstick'],[]
28,4obtb7,5.0,2024-06-07,22,this product is very very nice I am very glad :smiling_face_with_smiling_eyes: thank you so much Meesho just looking like a wow :thumbs_up:,5.0,[' product'],[],[]
29,4obtb7,5.0,2025-03-29,0,"it turned out very good, highly recommend guys :face_blowing_a_kiss: :heart_exclamation:",5.0,[],[],[]
30,4obtb7,5.0,2025-03-27,0,it is a very good product,5.0,[' product'],[],[]
31,4obtb7,5.0,2025-03-27,0,it's all very good I liked it,5.0,[],[],[]
